ICAO,IATA,Name,City,Province,Country,Lat,Lon,Elev,OffUTC,OffDST,TZone

HHHH,HHH,HILTON HEAD ISLAND AIRPORT,HILTON HEAD,SOUTH CAROLINA,USA,32.224167,80.6975,19,-5,-4,America/Kentucky/Monticello
KUNV,SCE,UNIVERSITY PARK,STATE COLLEGE,PENNSYLVANIA,USA,40.503889,-80.266389,1228,-5,-4,America/Detroit

AGGA,,AUKI,,,,-8.702569,160.681739,5,11,11,Pacific/Guadalcanal
AGGH,,HENDERSON,,,,-9.430858,160.053067,28,11,11,Pacific/Guadalcanal
AGGM,,MUNDA,,,,-8.327969,157.263092,10,11,11,Pacific/Guadalcanal
ANAU,,NAURU INTL,,,,-0.547458,166.9191,22,12,12,Pacific/Nauru
AYBK,,BUKA,,,,-5.422317,154.672667,11,10,10,Pacific/Port_Moresby
AYCH,,CHIMBU,,,,-6.024292,144.970528,4974,10,10,Pacific/Port_Moresby
AYDU,,DARU,,,,-9.086756,143.207939,20,10,10,Pacific/Port_Moresby
AYGA,GKA,GOROKA,GOROKA,,PAPUA NEW GUINEA,-6.081689,145.391881,5282,10,10,Pacific/Port_Moresby
AYGN,,GURNEY,,,,-10.311531,150.333756,88,10,10,Pacific/Port_Moresby
AYGR,,GIRUA,,,,-8.804544,148.309047,311,10,10,Pacific/Port_Moresby
AYHK,,HOSKINS,,,,-5.462169,150.404944,66,10,10,Pacific/Port_Moresby
AYKM,KMA,KEREMA,KEREMA,,PAPUA NEW GUINEA,-7.963611,145.771389,10,10,10,Pacific/Port_Moresby
AYKV,,KAVIENG,,,,-2.579397,150.807978,7,10,10,Pacific/Port_Moresby
AYMD,MAG,MADANG,MADANG,,PAPUA NEW GUINEA,-5.207083,145.7887,20,10,10,Pacific/Port_Moresby
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,,PAPUA NEW GUINEA,-5.826111,144.296111,5388,10,10,Pacific/Port_Moresby
AYMN,,MENDI,,,,-6.147739,143.657164,5680,10,10,Pacific/Port_Moresby
AYMO,,MOMOTE,,,,-2.061889,147.42415,12,10,10,Pacific/Port_Moresby
AYNZ,LAE,NADZAB,NADZAB,,PAPUA NEW GUINEA,-6.569828,146.726242,239,10,10,Pacific/Port_Moresby
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,,PAPUA NEW GUINEA,-9.443383,147.22005,146,10,10,Pacific/Port_Moresby
AYRB,RAB,,RABAUL,,PAPUA NEW GUINEA,,,0,,,
AYTK,,TOKUA,,,PAPUA NEW GUINEA,-4.340456,152.379667,32,10,10,Pacific/Port_Moresby
AYVN,,VANIMO,,,,-2.692122,141.302286,10,10,10,Pacific/Port_Moresby
AYWD,,WAPENAMANDA,,,,-5.643303,143.895411,5889,10,10,Pacific/Port_Moresby
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,,PAPUA NEW GUINEA,-3.583828,143.669186,19,10,10,Pacific/Port_Moresby
BGAM,,,ANGMAGSSALIK,,GREENLAND,,,0,,,
BGAS,,,ANGISSOQ,,GREENLAND,,,0,,,
BGAT,,,APUTITEQ,,GREENLAND,,,0,,,
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,,GREENLAND,61.161111,-45.427775,112,-3,-2,America/Godthab
BGCH,JCH,,CHRISTIANSHAAB,,GREENLAND,,,0,,,
BGCO,,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,,GREENLAND,,,45,,,
BGDB,,,DANEBORG,,GREENLAND,,,0,,,
BGDH,,,DANMARKSHAVN,,GREENLAND,,,0,,,
BGDU,,,DUNDAS,,GREENLAND,,,0,,,
BGEM,JEG,,EGEDESMINDE,,GREENLAND,,,0,,,
BGFD,,,FREDERIKSDAL,,GREENLAND,,,0,,,
BGFH,JFR,,FREDERIKSHAAB,,GREENLAND,,,0,,,
BGGD,JGR,,GRONNEDAL,,GREENLAND,,,0,,,
BGGH,GOH,NUUK,GODTHAAB,,GREENLAND,64.190833,-51.678056,283,-3,-2,America/Godthab
BGGN,JGO,,GODHAVN,,GREENLAND,,,0,,,
BGHB,JHS,,HOLSTEINSBORG,,GREENLAND,,,0,,,
BGIS,,,ISORTOQ,,GREENLAND,,,0,,,
BGIT,,,IVIGTUT,,GREENLAND,,,0,,,
BGJH,JJU,,JULIANEHAAB,,GREENLAND,,,0,,,
BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,,GREENLAND,,,110,,,
BGKD,,,KAP DAN,,GREENLAND,,,0,,,
BGKK,KUS,KULUSUK,KULUSUK,,GREENLAND,,,110,,,
BGKM,,,KUNGMIUT,,GREENLAND,,,0,,,
BGKT,,,KAP TOBIN,,GREENLAND,,,0,,,
BGMV,,,MESTERS VIG,,GREENLAND,,,0,,,
BGNN,JNN,,NANORTALIK,,GREENLAND,,,0,,,
BGNS,JNS,,NARSSAQ,,GREENLAND,,,0,,,
BGOS,,,ORSSUIORSSUAQ,,GREENLAND,,,0,,,
BGPC,,,PRINS CHRISTIAN SUND,,GREENLAND,,,0,,,
BGRS,,,RAVNS STORO,,GREENLAND,,,0,,,
BGSC,,,SCORESBYSUND,,GREENLAND,,,0,,,
BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,,GREENLAND,67.016969,-50.689325,165,-3,-2,America/Godthab
BGSG,,,SERMILIGAO,,GREENLAND,,,0,,,
BGST,JSU,,SUKKERTOPPEN,,GREENLAND,,,0,,,
BGTL,THU,THULE AIR BASE,THULE,,GREENLAND,76.531356,-68.703161,251,-4,-3,America/Thule
BGTM,,,TINGMIARMIUT,,GREENLAND,,,0,,,
BGTN,,,TINITEQILAQ,,GREENLAND,,,0,,,
BGUM,,,UMANAK,,GREENLAND,,,0,,,
BGUP,JUV,,UPERNAVIK,,GREENLAND,,,0,,,
BIAR,AEY,AKUREYRI,AKUREYRI,,ICELAND,65.659994,-18.072703,6,0,0,Atlantic/Reykjavik
BIBD,BIU,BILDUDALUR,BILDUDALUR,,ICELAND,65.641331,-23.546169,26,0,0,Atlantic/Reykjavik
BIBL,,,BLONDUOS,,ICELAND,,,0,,,
BIDV,,,DJUOIVOGUR,,ICELAND,,,0,,,
BIEG,EGS,EGILSSTADIR,EGILSSTADIR,,ICELAND,65.283333,-14.401389,76,0,0,Atlantic/Reykjavik
BIFM,,,FAGURHOLSMYRI,,ICELAND,,,0,,,
BIGR,GRY,,GRIMSEY,,ICELAND,,,0,,,
BIHN,HFN,HORNAFJORDUR,HOFN,,ICELAND,64.295556,-15.227222,24,0,0,Atlantic/Reykjavik
BIHU,HZK,HUSAVIK,HUSAVIK,,ICELAND,65.952328,-17.425978,45,0,0,Atlantic/Reykjavik
BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,,ICELAND,66.058056,-23.135278,8,0,0,Atlantic/Reykjavik
BIKF,KEF,KEFLAVIK NAS,KEFLAVIK,,ICELAND,63.985,-22.605556,171,0,0,Atlantic/Reykjavik
BIKP,OPA,KOPASKER,KOPASKER,,ICELAND,,,20,,,
BIKR,SAK,,SAUDARKROKUR,,ICELAND,,,0,,,
BINF,NOR,,NORDFJORDUR,,ICELAND,,,0,,,
BIPA,PFJ,PATREKSFJORDUR,PATREKSFJORDUR,,ICELAND,65.555833,-23.965,11,0,0,Atlantic/Reykjavik
